img_path,label
./train/augmented_TRAIN_00000.jpg,Ruddy Shelduck
./train/augmented_TRAIN_00001.jpg,Gray Wagtail
./train/augmented_TRAIN_00002.jpg,Indian Peacock
./train/augmented_TRAIN_00003.jpg,Common Kingfisher
./train/augmented_TRAIN_00004.jpg,Common Kingfisher
./train/augmented_TRAIN_00005.jpg,Common Rosefinch
./train/augmented_TRAIN_00006.jpg,Jungle Babbler
./train/augmented_TRAIN_00007.jpg,Common Tailorbird
./train/augmented_TRAIN_00008.jpg,Indian Peacock
./train/augmented_TRAIN_00009.jpg,Indian Peacock
./train/augmented_TRAIN_00010.jpg,White-Breasted Waterhen
./train/augmented_TRAIN_00011.jpg,Sarus Crane
./train/augmented_TRAIN_00012.jpg,Indian Peacock
./train/augmented_TRAIN_00013.jpg,Common Myna
./train/augmented_TRAIN_00014.jpg,White-Breasted Waterhen
./train/augmented_TRAIN_00015.jpg,Common Tailorbird
./train/augmented_TRAIN_00016.jpg,Gray Wagtail
./train/augmented_TRAIN_00017.jpg,Gray Wagtail
./train/augmented_TRAIN_00018.jpg,Forest Wagtail
./train/augmented_TRAIN_00019.jpg,White-Breasted Waterhen
./train/augmented_TRAIN_00020.jpg,Indian Roller
./train/augmented_TRAIN_00021.jpg,Northern Lapwing
./train/augmented_TRAIN_00022.jpg,Indian Grey Hornbill
./train/augmented_TRAIN_00023.jpg,Hoopoe
./train/augmented_TRAIN_00024.jpg,Forest Wagtail
./train/augmented_TRAIN_00025.jpg,Indian Pitta
./train/augmented_TRAIN_00026.jpg,Red-Wattled Lapwing
./train/augmented_TRAIN_00027.jpg,White-Breasted Waterhen
./train/augmented_TRAIN_00028.jpg,Northern Lapwing
./train/augmented_TRAIN_00029.jpg,Cattle Egret
./train/augmented_TRAIN_00030.jpg,Hoopoe
./train/augmented_TRAIN_00031.jpg,Jungle Babbler
./train/augmented_TRAIN_00032.jpg,Common Kingfisher
./train/augmented_TRAIN_00033.jpg,White-Breasted Kingfisher
./train/augmented_TRAIN_00034.jpg,Common Kingfisher
./train/augmented_TRAIN_00035.jpg,Hoopoe
./train/augmented_TRAIN_00036.jpg,Rufous Treepie
./train/augmented_TRAIN_00037.jpg,White-Breasted Waterhen
./train/augmented_TRAIN_00038.jpg,Common Myna
./train/augmented_TRAIN_00039.jpg,White Wagtail
./train/augmented_TRAIN_00040.jpg,White-Breasted Waterhen
./train/augmented_TRAIN_00041.jpg,Common Rosefinch
./train/augmented_TRAIN_00042.jpg,White Wagtail
./train/augmented_TRAIN_00043.jpg,Red-Wattled Lapwing
./train/augmented_TRAIN_00044.jpg,Northern Lapwing
./train/augmented_TRAIN_00045.jpg,Ruddy Shelduck
./train/augmented_TRAIN_00046.jpg,Sarus Crane
./train/augmented_TRAIN_00047.jpg,Ruddy Shelduck
./train/augmented_TRAIN_00048.jpg,Forest Wagtail
./train/augmented_TRAIN_00049.jpg,White-Breasted Waterhen
./train/augmented_TRAIN_00050.jpg,House Crow
./train/augmented_TRAIN_00051.jpg,Cattle Egret
./train/augmented_TRAIN_00052.jpg,Coppersmith Barbet
./train/augmented_TRAIN_00053.jpg,White-Breasted Kingfisher
./train/augmented_TRAIN_00054.jpg,Indian Pitta
./train/augmented_TRAIN_00055.jpg,Indian Peacock
./train/augmented_TRAIN_00056.jpg,Jungle Babbler
./train/augmented_TRAIN_00057.jpg,Brown-Headed Barbet
./train/augmented_TRAIN_00058.jpg,White-Breasted Kingfisher
./train/augmented_TRAIN_00059.jpg,Coppersmith Barbet
./train/augmented_TRAIN_00060.jpg,Coppersmith Barbet
./train/augmented_TRAIN_00061.jpg,Indian Grey Hornbill
./train/augmented_TRAIN_00062.jpg,Common Rosefinch
./train/augmented_TRAIN_00063.jpg,Common Tailorbird
./train/augmented_TRAIN_00064.jpg,Jungle Babbler
./train/augmented_TRAIN_00065.jpg,White Wagtail
./train/augmented_TRAIN_00066.jpg,Indian Grey Hornbill
./train/augmented_TRAIN_00067.jpg,Indian Grey Hornbill
./train/augmented_TRAIN_00068.jpg,Ruddy Shelduck
./train/augmented_TRAIN_00069.jpg,White-Breasted Waterhen
./train/augmented_TRAIN_00070.jpg,Common Kingfisher
./train/augmented_TRAIN_00071.jpg,White-Breasted Kingfisher
./train/augmented_TRAIN_00072.jpg,Indian Grey Hornbill
./train/augmented_TRAIN_00073.jpg,White Wagtail
./train/augmented_TRAIN_00074.jpg,Gray Wagtail
./train/augmented_TRAIN_00075.jpg,Gray Wagtail
./train/augmented_TRAIN_00076.jpg,White-Breasted Kingfisher
./train/augmented_TRAIN_00077.jpg,Ruddy Shelduck
./train/augmented_TRAIN_00078.jpg,Sarus Crane
./train/augmented_TRAIN_00079.jpg,White-Breasted Waterhen
./train/augmented_TRAIN_00080.jpg,White Wagtail
./train/augmented_TRAIN_00081.jpg,Indian Roller
./train/augmented_TRAIN_00082.jpg,Coppersmith Barbet
./train/augmented_TRAIN_00083.jpg,Rufous Treepie
./train/augmented_TRAIN_00084.jpg,Northern Lapwing
./train/augmented_TRAIN_00085.jpg,Indian Roller
./train/augmented_TRAIN_00086.jpg,Asian Green Bee-Eater
./train/augmented_TRAIN_00087.jpg,Cattle Egret
./train/augmented_TRAIN_00088.jpg,Northern Lapwing
./train/augmented_TRAIN_00089.jpg,White-Breasted Kingfisher
./train/augmented_TRAIN_00090.jpg,Common Tailorbird
./train/augmented_TRAIN_00091.jpg,Forest Wagtail
./train/augmented_TRAIN_00092.jpg,Indian Roller
./train/augmented_TRAIN_00093.jpg,Hoopoe
./train/augmented_TRAIN_00094.jpg,Common Myna
./train/augmented_TRAIN_00095.jpg,Northern Lapwing
./train/augmented_TRAIN_00096.jpg,Hoopoe
./train/augmented_TRAIN_00097.jpg,Forest Wagtail
./train/augmented_TRAIN_00098.jpg,Common Tailorbird
./train/augmented_TRAIN_00099.jpg,House Crow
./train/augmented_TRAIN_00100.jpg,Sarus Crane
./train/augmented_TRAIN_00101.jpg,Jungle Babbler
./train/augmented_TRAIN_00102.jpg,Asian Green Bee-Eater
./train/augmented_TRAIN_00103.jpg,White Wagtail
./train/augmented_TRAIN_00104.jpg,Coppersmith Barbet
./train/augmented_TRAIN_00105.jpg,Common Myna
./train/augmented_TRAIN_00106.jpg,White-Breasted Kingfisher
./train/augmented_TRAIN_00107.jpg,Brown-Headed Barbet
./train/augmented_TRAIN_00108.jpg,House Crow
